Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Synopsis,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank
The Penthouse,"Oct 26, 2020 - Jan  5, 2021",2020,SBS," Monday, Tuesday",21,1 hr. 25 min.,15+ - Teens 15 or older,8.8,"The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the prima donna of the residence, does all she can to give everything to her daughter. Oh Yoon Hee comes from a poor family background, but she strives to enter high society by becoming the queen of the penthouse, the pinnacle of success in her eyes. A battle for wealth, power, and prestige at Seoul’s most coveted penthouse begins.","Thriller,  Mystery,  Drama,  Family ","Betrayal, Revenge, Greed, Jealousy, Female Centered Plot, Married Couple, Opera Singer, Motherhood, Twins, School Bullying",Joo Dong Min,Kim Soon Ok,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung","Studio S, Chorokbaem Media",#34
Youth of May,"May  3, 2021 - Jun  8, 2021",2021,KBS2," Monday, Tuesday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.8,"Hee Tae becomes the pride of Gwangju when he enters Seoul National University College of Medicine with top marks. His best friend Kyung Soo, an avid pro-democracy activist, insists that they open an illegal clinic for students on the run from the government. One day, a factory worker is injured during a protest. In exchange for the costs of discreetly transporting himself and the factory worker to his hometown, Hee Tae must go to a meeting with a potential marriage partner arranged by his father. At this meeting, Hee Tae meets Myung Hee, a nurse persevering through the hardships of life. She only agrees to go to this meeting in place of her friend Soo Ryeon, because she needs to come up with the airfare to go study in Germany. However, Myung Hee and Hee Tae end up falling in love. In May of 1980, amidst the heated passion and cries for democracy that reverberated throughout Gwangju, Hee Tae and Myung Hee find themselves in a twist of fate.","Historical,  Romance,  Drama,  Melodrama ","1980s, Nurse, Rich Man/Poor Woman, Gwangju Uprising, Medical Student, Strong Female Lead, Smart Female Lead, Forbidden Love, Star Crossed Lovers, Tearjerker","Song Min Yeop, Lee Dae Kyung",Lee Kang,"Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub",Story Hunter Production,#35
Taxi Driver,"Apr  9, 2021 - May 29, 2021",2021,SBS," Friday, Saturday",16,1 hr. 5 min.,18+ Restricted (violence & profanity),8.8,"Do Gi has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Gi meets Jang Sung Chul, who recruits Do Gi to work for his company, Rainbow Taxi. Far from an ordinary taxi service, Rainbow Taxi is a secret organization that avenges victims whom the law didn’t protect. Here, Do Gi becomes a star driver who delivers satisfying revenge. Meanwhile, Ha Na is a prosecutor who investigates Rainbow Taxi. She is furious with their lawless behavior, but at the same time, she feels confused to see them solve cases that the law cannot. Between those who believe that revenge embodies true justice and those who pursue the outlaws, Do Gi seeks what justice truly means.","Action,  Thriller,  Mystery,  Drama ","Adapted From A Webtoon, Taxi, Strong Male Lead, Investigation, Secret Organization, Smart Female Lead, Taxi Driver, Antihero, Calm Male Lead, Strong Female Lead",Park Joon Woo,"Oh Sang Ho, Lee Ji Hyun","Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin","Studio S, Group 8",#36
Life on Mars,"Jun  9, 2018 - Aug  5, 2018",2018,OCN," Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,"As leader of a crime investigation team, Han Tae Joo has propelled his career and risen through the ranks by trusting data over all else. One day, while investigating a serial murder case, he has an accident. When he wakes up, he suddenly finds himself in the winter of 1988. He doesn't know why, but he's now a detective appointed to work at a police station in a small city. To get back to the present day, Han Tae Joo tries to solve the case.","Action,  Mystery,  Comedy,  Supernatural ","1980s, Police Procedural, Bromance, Calm Male Lead, Smart Male Lead, Strong Friendship, Hallucination, Strong Female Lead, Serial Killer, Coma",Lee Jeong Hyo,Lee Dae II,"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho",Production H,#37
Beyond Evil,"Feb 19, 2021 - Apr 10, 2021",2021,jTBC," Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city:,"Thriller,  Mystery,  Psychological,  Drama ","Determined Male Lead, Investigation, Suspense, Murder, Wrongfully Accused, Psychological Manipulation, Smart Male Lead, Trauma, Serial Killer, Obsession",Shim Na Yeon,Kim Soo Jin,"Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho","Celltrion Entertainment, JTBC Studios",#38
Racket Boys,"May 31, 2021 - Aug  9, 2021",2021,"Netflix,  SBS "," Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,"A story of a boys' badminton team at a middle school in Haenam as they grow, both as people and as players.","Friendship,  Comedy,  Youth,  Sports ","Coliving, Boarding House, Charismatic Female Lead, Legend, Rural Life, Working Mom, Athlete, Tough Female Lead, Tough Male Lead, Badminton",Jo Young Kwang,Jung Bo Hoon,"Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon","SBS, Pan Entertainment",#39
Hometown Cha-Cha-Cha,"Aug 28, 2021 - Oct 17, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.8,Hometown Cha-Cha-Cha is a love story set in the seaside village of Gongjin.,"Comedy,  Romance,  Life ","Rural Village, Dentist, Healing, Kind-hearted Male Lead, Nice Female Lead, Cheerful Male Lead, Nice Male Lead, Bickering Couple, Rural Life, Hardworking Male Lead",Yoo Je Won,Shin Ha Eun,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Jo Han Chul, Lee Bong Ryun","Studio Dragon, GTist",#40
Six Flying Dragons,"Oct  5, 2015 - Mar 22, 2016",2015,SBS," Monday, Tuesday",50,60 min.,15+ - Teens 15 or older,8.8,"A fiction historical drama about the ambition, rise and fall of real and fictional characters based around Yi Bang Won.","Action,  Historical,  Drama,  Political ","Revolution, Power Struggle, Political Intrigue, Sword-fight, Taejong, Scheme, Taejo, Smart Male Lead, Goryeo Dynasty, Bromance",Shin Kyung Soo,"Kim Young Hyun, Park Sang Yeon","Yoo Ah In, Kim Myung Min, Shin Se Kyung, Byun Yo Han, Yoon Kyun Sang, Chun Ho Jin",ANDu Entertainment,#41
Our Beloved Summer,"Dec 6, 2021 - Jan 25, 2022",2021,"Netflix, SBS","Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.7,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives. Choi Woong seems naive and a free-spirited man, but he wants to have something for the first time in his life. For that, he shows what he holds in his mind. Kook Yeon Soo aimed to become the top student at her school, but she is now an adult who lives fiercely, adapting to her reality.","Romance, Life, Youth, Drama ","Lovers Reunited, High School Sweethearts, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age, Second Chance Romance, Enemies To Lovers",Kim Yoon Jin,Lee Na Eun,"Choi Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui, Ahn Dong Goo, Park Jin Joo","Studio N, Super Moon Pictures",#42
The Guest,"Sep 12, 2018 - Nov  1, 2018",2018,OCN," Wednesday, Thursday",16,1 hr. 7 min.,18+ Restricted (violence & profanity),8.8,"Yoon Hwa Pyung, a young psychic born into a shaman family, learns about the powerful demon called ""Son"" (Guest). The demon has the power to control other demons and allows them to possess weak people. The possessed people then go mad, kill their families, and stab themselves in the eye. Fatefully, Hwa Pyung, Choi Yoon; a young boy born in a religious Catholic family, and Kang Kil Yeong; the daughter of a detective, meet when their families are killed by a demon.","Thriller,  Mystery,  Horror,  Supernatural ","Exorcism, Death, Demon, Possessed, Shamanism, Murder, Psychic, Strong Female Lead, Priest, Policewoman",Kim Hong Seon,"Seo Jae Won, Kwon So Ra","Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang",Studio Dragon,#43
Dear My Friends,"May 13, 2016 - Jul  2, 2016",2016,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Park Wan is a translator who is constantly pulled by her mother, Jang Nan Hee, to hang out with her elder friends, Jo Hee Ja, Moon Jung Ah, Oh Choong Nam, and Lee Yeong Won. The plot revolves around the friends' twilight years as they are rediscovering themselves through relationships and family, the struggles they face due to their old age, and their life journey that they share with  Park Wan in the hope she would write a novel about them.","Life,  Drama,  Family,  Melodrama ","Best Friends, Life Lesson, Female Centered Plot, Senior Citizen, Mother-Son Relationship, Mother-Daughter Relationship, Multiple Couples, Single Mother, Sismance, Family Conflict",Hong Jong Chan,Noh Hee Kyung,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung",Studio Dragon,#44
While You Were Sleeping,"Sep 27, 2017 - Nov 16, 2017",2017,SBS," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.7,A young woman with bad premonition dreams meets two people who suddenly develop the same ability.,"Mystery,  Romance,  Drama,  Fantasy ","Precognition, Nice Male Lead, Neighbors, Murder, Tragic Past, Childhood Acquaintance, Smart Male Lead, Steamy Kiss, Strong Female Lead, Healing","Oh Choong Hwan, Park Soo Jin",Park Hye Ryun,"Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha",SidusHQ,#45
The Penthouse 2,"Feb 19, 2021 - Apr  2, 2021",2021,SBS," Friday, Saturday",13,1 hr. 15 min.,15+ - Teens 15 or older,8.8,"After successfully framing Oh Yoon Hee, Cheon Seo Jin and Joo Dan Tae decided to get married. Their engagement party is interrupted by Oh Yoon Hee and Ha Yoon Cheol, who has just come back from the United States. As the secrets unveil, the relationships among the people at Hera Palace are entangled, yet another mysterious figure appears and confronts them.","Thriller,  Mystery,  Drama,  Family ","Revenge, Corruption, High Class Society, Female Centered Plot, Greed, Infidelity, Murder, Family Relationship, Betrayal, Married Couple",Joo Dong Min,Kim Soon Ok,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung","Studio S, Chorokbaem Media",#46
Chicago Typewriter,"Apr  7, 2017 - Jun  3, 2017",2017,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,This drama follows the lives of two men and a woman through two eras: one during the 1930s Japanese occupation of Korea and the other in the 21st century. The three main characters are,"Comedy,  Romance,  Supernatural,  Political ","Reincarnation, Strong Friendship, Writer, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past",Kim Chul Gyu,Jin Soo Wan,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra","THE UNICORN, Studio Dragon",#47
18 Again,"Sep 21, 2020 - Nov 10, 2020",2020,jTBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"After nearly twenty years of marriage, Jung Da Jung and Hong Dae Young seem to be well settled in their domestic lives. The proud parents of a pair of eighteen year old twins, the devoted couple have worked hard to build a happy home together. But what seems like an ideal life on the outside is really anything but. Fed up with Dae Young’s incessant nonsense, Da Jung is at her wits’ end. When Dae Young announces that he’s been fired, Da Jung gives up completely. Convinced life would be better without her husband in it, Da Jung wastes no time in filing for divorce.","Romance,  Life,  Drama,  Fantasy ","Second Chance, Personal Growth, First Love, Return To Past, Father-Son Relationship, Divorce, Remake, Married Couple, Hardworking Female Lead, Father-Daughter Relationship",Ha Byung Hoon,"Kim Do Yeon, Ahn Eun Bin, Choi Yi Ryun","Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",JTBC Studios,#48
Arthdal Chronicles Part 2,"Jun 22, 2019 - Jul  7, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 21 min.,15+ - Teens 15 or older,8.7,"Ta Gon has now become the most powerful man in Arthdal. He has an affectionate relationship only with Taealha, the daughter of the rival Hae Tribe, because of their shared ambitions.","Historical,  Romance,  Fantasy,  Political ","Twins, War, Power Struggle, Revenge, Slavery, Good Twin/Evil Twin, Strong Female Lead, Character Development, Father-Daughter Relationship, Sibling",Kim Won Suk,"Kim Young Hyun, Park Sang Yeon","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon","Studio Dragon, KPJ",#49
Arthdal Chronicles Part 3,"Sep  7, 2019 - Sep 22, 2019",2019,"Netflix,  tvN "," Saturday, Sunday",6,1 hr. 20 min.,15+ - Teens 15 or older,8.7,"Following Part I & II, Ta Gon has gotten what he wants as he sits atop his throne. However, now his life and throne are threatened when Eun Seom begins to gather power among the slaves and peasants of Arth as he starts to fight back against the elite. Although Ta Gon has so far kept his half-Neanthal heritage a secret from the world, his eyes shine purple, preparing to go all out in fighting Eun Seom.","Historical,  Romance,  Fantasy,  Political ","Power Struggle, War, Supernatural Power, Strong Female Lead, Identical Twins, Curse, Revenge, Superhuman Strength, Pre-produced, Sibling",Kim Won Suk,"Kim Young Hyun, Park Sang Yeon","Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika","Studio Dragon, KPJ",#50
Through the Darkness,"Jan 14, 2022 - Mar 12, 2022",2022,SBS,"Friday, Saturday",12,1 hr. 10 min.,18+ Restricted (violence & profanity),8.7,"Back in the 1990s, the citizens of Seoul were gripped with a paralyzing fear after a series of brutal attacks and murders occurred. A mysterious figure dubbed ‘Red Cap’ was stalking women on the streets then killing his prey, seemingly without provocation. His habit of striking at random made it impossible for the detectives to predict his next move. At the top of their minds is what could be triggering him. Aware of the American F.B.I. and its successful use of criminal profilers to identify serial killers, the head of the Criminal Behavioral Analysis team, Gook Young Soo recruits Song Ha Young, a quiet, reserved, incredibly perceptive former detective for his team. Gook believes using this new psychological method will give the police an edge in capturing 'Red Cap' and ending his killing spree. Homicide expert Yoon Tae Goo and her officers question the value of this approach and are resistant to entering such uncharted territory. To quell their scorn they need to convince that this radical crime-fighting approach will increase their arrest rates. Does Song Ha Young have the ability to gain the trust of callous criminals while seeing through them? Is he clever enough to outwit them?  But more importantly, does he possess the emotional fortitude to withstand the process?","Thriller, Mystery, Crime, Drama ","Investigation, Murder, Calm Male Lead, Suspense, 1990s, Adapted From A Novel, 2000s, Empathic Male Lead, Time Skip, Sexual Assault","Kim Jae Hong, Park Bo Ram","Seol Yi Na, Kwon Il Yong","Kim Nam Gil, Jin Seon Kyu, Kim So Jin, Ryeoun, Lee Dae Yeon, Kim Won Hae",Studio S,#51
